school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"Austin Center for Design",austin-center-for-design,,,,,,15720,278925,,,,,,
"McMillan Hall",mcmillan-hall,,,,,,11762,279000,,,,,,
"Bucksbaum Institute for Clinical Excellence",bucksbaum-institute-for-clinical-excellence,,,,,,15630,279075,,,,,,
"Black River Technical College",black-river-technical-college,,Pocahontas,AR,0.3,,9273,279150,,,1000,1000,3000,blackrivertech.edu
"University of Arkansas – Pulaski Technical College","university-of-arkansas-–-pulaski-technical-college",,"North Little Rock",AR,0.24,,14209,279225,,,4000,4000,6000,uaptc.edu
"Le Cordon Bleu College of Culinary Arts Scottsdale",le-cordon-bleu-college-of-culinary-arts-scottsdale,,,,,,14395,279300,,,,,,
"Mission College",mission-college,,"Santa Clara",CA,0.44,,14098,279375,,,4000,4000,1000,missioncollege.edu
"Marlboro College Graduate School",marlboro-college-graduate-school,,Marlboro,VT,,,15753,279450,,,1000,,27000,marlboro.edu
"Arkansas State University Mid-South",arkansas-state-university-mid-south,,"West Memphis",AR,0.16,,12000,279525,,,1000,1000,3000,
"McCrone Research Institute",mccrone-research-institute,,,,,,11623,279600,,,,,,
"Waycross College",waycross-college,,,,,,12070,279675,,,,,,
"Andover College",andover-college,,Lewiston,ME,,,9994,279750,,,,,,
"Butler County Community College",butler-county-community-college,,Butler,PA,0.29,,13735,279825,,,2000,2000,8000,bc3.edu
"Salina Area Technical College",salina-area-technical-college,,Salina,KS,0.61,,12302,279900,,,1000,0,8000,salinatech.edu
"Conway School of Landscape Design",conway-school-of-landscape-design,,Northampton,MA,,,13020,279975,,,1000,,,csld.edu
"University of Arkansas–Fort Smith","university-of-arkansas–fort-smith",,"Fort Smith",AR,0.31,221,13595,280050,,,5000,5000,6000,uafs.edu
"Eastern Wyoming College",eastern-wyoming-college,,Torrington,WY,0.4,,13937,280125,,,1000,1000,4000,ewc.wy.edu
"Sullivan College of Technology and Design",sullivan-college-of-technology-and-design,,,,,,14870,280200,,,,,,
"St. Anthony-on-Hudson Seminary",st.-anthony-on-hudson-seminary,,,,,,14908,280275,,,,,,
"Emmanuel Christian Seminary",emmanuel-christian-seminary,,,,,,13678,280350,,,,,,
"Institute for Clinical Social Work",institute-for-clinical-social-work,,Chicago,IL,,,11561,280425,,,1000,,,icsw.edu
"Taylor Business Institute",taylor-business-institute,0.88,Chicago,IL,0.63,,8996,280500,,,1000,0,14000,
"Haywood Community College",haywood-community-college,,Clyde,NC,0.49,,11779,280575,,,1000,1000,3000,haywood.edu
"MIAT College of Technology",miat-college-of-technology,,,,,,10331,280650,,,,,,
"North Pacific College",north-pacific-college,,,,,,9800,280725,,,,,,
"Helena College University of Montana",helena-college-university-of-montana,,Helena,MT,0.37,,11929,280800,,,1000,1000,3000,umhelena.edu
"Kresge Hearing Research Institute",kresge-hearing-research-institute,,,,,,14054,280875,,,,,,
"Bullard-Havens Technical High School",bullard-havens-technical-high-school,,,,,,15229,280950,,,,,,
"Marinello Schools of Beauty",marinello-schools-of-beauty,,,,,,14263,281025,,,,,,
"Bayamón Central University","bayamón-central-university",0.88,"Bayamón",PR,0.24,,15455,281100,,,1000,1000,6000,ucb.edu
"Louisville Bible College",louisville-bible-college,,,,,,14157,281175,,,,,,
"St. Louis Community College–Meramec","st.-louis-community-college–meramec",,,,,,12620,281250,,,,,,
"Mount Marty University",mount-marty-university,0.78,Yankton,SD,0.53,1424,14882,285076,930,21,1000,1000,28000,mountmarty.edu
"Kansas City University",kansas-city-university,,"Kansas City",MO,,,14576,285152,,,1000,,,kcumb.edu
"Connors State College",connors-state-college,,Warner,OK,0.26,,7231,285228,,,2000,2000,4000,connorsstate.edu
"St. Mary of the Plains College",st.-mary-of-the-plains-college,,,,,,9820,285304,,,,,,
"Baptist University of the Américas","baptist-university-of-the-américas",,"San Antonio",TX,0.26,,14053,285380,,,1000,0,6000,bua.edu
"Michigan Institute of Aviation and Technology",michigan-institute-of-aviation-and-technology,0.81,Canton,MI,0.57,1191,14412,285456,,,2000,2000,13000,miat.edu
"Northland Community & Technical College",northland-community-&-technical-college,,"Thief River Falls",MN,0.43,,14902,285532,,,2000,2000,6000,northlandcollege.edu
"Trocaire College",trocaire-college,0.53,Buffalo,NY,0.23,,5917,285608,,,1000,1000,18000,trocaire.edu
"Vigo Collegiate Institute",vigo-collegiate-institute,,,,,,11509,285684,,,,,,
"University of Washington North Sound",university-of-washington-north-sound,,,,,,14873,285760,,,,,,
"Baptist Bible College",baptist-bible-college,,Springfield,MO,0.37,,12713,285836,,,1000,0,14000,bbc.edu
"Argosy University, Seattle","argosy-university,-seattle",,,,,,15227,285912,,,,,,
"University at Buffalo School of Engineering and Applied Sciences",university-at-buffalo-school-of-engineering-and-applied-sciences,,,,,,14071,285988,,,,,,
"Southern West Virginia Community and Technical College",southern-west-virginia-community-and-technical-college,,"Mount Gay",WV,0.21,,12058,286064,,,1000,1000,4000,southernwv.edu
"Saint Francis de Sales Seminary",saint-francis-de-sales-seminary,,,,,,9855,286140,,,,,,
"Zucker Family School of Education",zucker-family-school-of-education,,,,,,14349,286216,,,,,,
"Three Rivers College",three-rivers-college,,"Poplar Bluff",MO,0.29,,14227,286292,,,2000,2000,5000,trcc.edu
"Modern College of Design",modern-college-of-design,0.99,Kettering,OH,0.53,705,14633,286368,,,1000,0,30000,themodern.edu
"Barton Community College",barton-community-college,,"Great Bend",KS,0.39,,11320,286444,,,4000,4000,4000,bartonccc.edu
"Midstate College",midstate-college,,Peoria,IL,,,11652,286520,,,,,,
"Carolina Graduate School of Divinity",carolina-graduate-school-of-divinity,,,,,,15598,286596,,,,,,
"The World University",the-world-university,,,,,,9846,286672,,,,,,
"SUNY Sullivan",suny-sullivan,,"Loch Sheldrake",NY,0.28,,9795,286748,,,1000,1000,6000,sunysullivan.edu
"Red Wing Seminary",red-wing-seminary,,,,,,9964,286824,,,,,,
"Southwest University of Visual Arts",southwest-university-of-visual-arts,,Tucson,AZ,0.58,,14510,286900,,,1000,0,23000,suva.edu
"Richmond Theological Institute",richmond-theological-institute,,,,,,10328,286976,,,,,,
"Ladycliff College",ladycliff-college,,,,,,10771,287052,,,,,,
"Northeastern Junior College",northeastern-junior-college,,Sterling,CO,0.48,,11200,287128,,,1000,1000,5000,njc.edu
"Northeast Alabama Community College",northeast-alabama-community-college,,Rainsville,AL,0.47,,14492,287204,,,2000,2000,5000,nacc.edu
"Charles H. McCann Technical School",charles-h.-mccann-technical-school,,"North Adams",MA,0.82,,14619,287280,,,1000,0,,
"Walther Theological Seminary",walther-theological-seminary,,,,,,11579,287356,,,,,,
"Northern Virginia Community College, Annandale","northern-virginia-community-college,-annandale",,Annandale,VA,0.29,,14640,287432,,,32000,32000,6000,
"Ancilla College",ancilla-college,0.72,Donaldson,IN,0.21,897,14881,287508,950,17,1000,0,19000,ancilla.edu
"Summit Theological Seminary",summit-theological-seminary,,,,,,12748,287584,,,,,,
"Carolina University of Theology",carolina-university-of-theology,,,,,,9878,287660,,,,,,
"Oval Bible College",oval-bible-college,,,,,,15318,287736,,,,,,
"John Wesley University",john-wesley-university,,,,,,13148,287812,,,,,,
"Pontotoc Technology Center",pontotoc-technology-center,,Ada,OK,0.96,,12057,287888,,,1000,0,,pontotoctech.edu
"Western Piedmont Community College",western-piedmont-community-college,,Morganton,NC,0.41,,13060,287964,,,1000,1000,3000,wpcc.edu
"Southern California Institute of Law",southern-california-institute-of-law,,,,,,13498,288040,,,,,,
"Adelphia College",adelphia-college,,,,,,14992,288116,,,,,,
"Green River College",green-river-college,,Auburn,WA,0.38,,15128,288192,,,8000,8000,4000,greenriver.edu
"Pittsburgh Institute of Mortuary Science",pittsburgh-institute-of-mortuary-science,,Pittsburgh,PA,0.72,,13205,288268,,,1000,0,,pims.edu
"Georgia Military Institute",georgia-military-institute,,,,,,11306,288344,,,,,,
"Pratt Community College",pratt-community-college,,Pratt,KS,0.41,,12591,288420,,,1000,1000,4000,prattcc.edu
"Lees–McRae College","lees–mcrae-college",0.73,"Banner Elk",NC,0.44,649,14589,288572,,,1000,1000,27000,lmc.edu
"Samuel S. Fleisher Art Memorial",samuel-s.-fleisher-art-memorial,,,,,,12968,288648,,,,,,
"Warren County Community College",warren-county-community-college,,Washington,NJ,0.45,,14316,288724,,,1000,1000,5000,warren.edu
"Mary Holmes College",mary-holmes-college,,,,,,11953,288800,,,,,,
"Ohio Technical College",ohio-technical-college,,Cleveland,OH,0.72,,14936,292677,,,1000,1000,,ohiotech.edu
"Grays Harbor College",grays-harbor-college,,Aberdeen,WA,0.33,,12676,292754,,,2000,2000,4000,ghc.edu
"Saint Mary Seminary and Graduate School of Theology",saint-mary-seminary-and-graduate-school-of-theology,,,,,,13076,292831,,,,,,
"New Castle School of Trades",new-castle-school-of-trades,1.0,"New Castle",PA,0.74,,12484,292908,,,1000,1000,,ncstrades.edu
"Colorado School of Trades",colorado-school-of-trades,0.83,Lakewood,CO,0.77,,15257,292985,,,1000,0,,schooloftrades.edu
"Ensign College",ensign-college,,"Salt Lake City",UT,0.32,,11668,293062,,,2000,2000,3000,ldsbc.edu
"Maine Media Workshops",maine-media-workshops,,,,,,13872,293139,,,,,,
"Great Falls College Montana State University",great-falls-college-montana-state-university,,"Great Falls",MT,0.18,,5341,293216,,,1000,1000,3000,gfcmsu.edu
"Mt Sierra College",mt-sierra-college,,,,,,15052,293293,,,,,,
"Texas A&M University–Central Texas","texas-a&m-university–central-texas",,,,,,13562,293370,,,,,,
"New Mexico Junior College",new-mexico-junior-college,,Hobbs,NM,0.29,,12945,293447,,,2000,2000,2000,nmjc.edu
"College of Health Care Professions",college-of-health-care-professions,,Austin,TX,0.71,,10904,293524,,,1000,1000,,chcp.edu
"Divers Institute of Technology",divers-institute-of-technology,,Seattle,WA,0.89,,14008,293601,,,1000,0,,diversinstitute.edu
"Pennsylvania Institute of Technology",pennsylvania-institute-of-technology,,Media,PA,0.33,,9253,293678,,,1000,0,14000,pit.edu
"Carteret Community College",carteret-community-college,,"Morehead City",NC,0.43,,10275,293755,,,1000,1000,3000,carteret.edu
"Bethany Lutheran Theological Seminary",bethany-lutheran-theological-seminary,,,,,,10987,293832,,,,,,
"Yeshiva Toras Chaim",yeshiva-toras-chaim,,,,,,11883,293909,,,,,,
"Pickaway-Ross Career & Technology Center",pickaway-ross-career-&-technology-center,,Chillicothe,OH,0.78,,12065,293986,,,1000,0,,
"Hopkinsville Community College",hopkinsville-community-college,,Hopkinsville,KY,0.26,,13069,294063,,,2000,2000,4000,hopkinsville.kctcs.edu
"Our Lady of Guadalupe Seminary",our-lady-of-guadalupe-seminary,,,,,,14478,294140,,,,,,
"Montgomery Community College",montgomery-community-college,,Troy,NC,0.58,,14546,294217,,,1000,1000,3000,montgomery.edu
"Dubuque Theological Seminary",dubuque-theological-seminary,,,,,,12152,294294,,,,,,
"Washington Female Seminary",washington-female-seminary,,,,,,6951,294371,,,,,,
"Seattle Bible College",seattle-bible-college,,,,,,13561,294448,,,,,,
"Montcalm Community College",montcalm-community-college,,Sidney,MI,0.34,,14686,294525,,,1000,1000,8000,montcalm.edu
"The Art Institute of California – San Diego","the-art-institute-of-california-–-san-diego",,,,,,16001,294602,,,,,,
"Dixie Technical College",dixie-technical-college,,"Saint George",UT,0.63,,12697,294679,,,1000,0,,dixietech.edu
"Central Christian College of Kansas",central-christian-college-of-kansas,,McPherson,KS,0.23,1345,11786,294756,,,1000,1000,19000,centralchristian.edu
"Georgia Institute of Technology School of Computational Science & Engineering",georgia-institute-of-technology-school-of-computational-science-&-engineering,,,,,,15380,294833,,,,,,
"Bay de Noc Community College",bay-de-noc-community-college,,Escanaba,MI,0.34,,14800,294910,,,1000,1000,8000,baycollege.edu
"Alma White College",alma-white-college,,,,,,12899,294987,,,,,,
"Center for Advanced Turbomachinery and Energy Research",center-for-advanced-turbomachinery-and-energy-research,,,,,,16115,295064,,,,,,
"Scarritt College",scarritt-college,,,,,,10568,295141,,,,,,
"Clear Creek Baptist Bible College",clear-creek-baptist-bible-college,,Pineville,KY,0.17,,10458,295218,,,1000,0,10000,ccbbc.edu
"Ottumwa Heights College",ottumwa-heights-college,,,,,,11707,295295,,,,,,
"Louisiana Culinary Institute",louisiana-culinary-institute,0.23,"Baton Rouge",LA,0.69,,16014,295372,,,1000,0,15000,
"Talmudical Institute of Upstate New York",talmudical-institute-of-upstate-new-york,1.0,Rochester,NY,,,14471,295449,,,1000,0,6000,
"Presentation College, South Dakota","presentation-college,-south-dakota",0.93,Aberdeen,SD,0.47,1257,13489,295526,1079,19,1000,1000,21000,presentation.edu
"Liechtenstein Institute on Self-Determination",liechtenstein-institute-on-self-determination,,,,,,10911,295603,,,,,,
"Northwest College",northwest-college,,Powell,WY,0.44,,12277,295680,,,1000,1000,4000,northwestcollege.edu
"Stanbridge University",stanbridge-university,0.35,Irvine,CA,0.65,,15429,295757,,,2000,2000,,
"Commonwealth College",commonwealth-college,,,,,,10644,295834,,,,,,
"McDowell Technical Community College",mcdowell-technical-community-college,,,,,,14527,295911,,,,,,mcdowelltech.edu
"Dell'Arte International School of Physical Theatre","dell'arte-international-school-of-physical-theatre",,"Blue Lake",CA,,,14135,295988,,,1000,0,13000,
"Daniel Payne College",daniel-payne-college,,,,,,12432,296065,,,,,,
"Logsdon Seminary",logsdon-seminary,,,,,,14452,296142,,,,,,
"St. Augustine's University","st.-augustine's-university",0.67,Raleigh,NC,0.19,973,6824,296219,840,15,1000,1000,18000,st-aug.edu
"Allen College",allen-college,,Waterloo,IA,,,11637,296296,,,1000,0,19000,allencollege.edu
"Morgan Community College",morgan-community-college,,"Fort  Morgan",CO,0.47,,13978,296373,,,1000,1000,4000,morgancc.edu
"Sheepshead Bay Maritime Service Training Station",sheepshead-bay-maritime-service-training-station,,,,,,11197,296450,,,,,,
"Lurleen B. Wallace Community College",lurleen-b.-wallace-community-college,,Andalusia,AL,0.33,,11864,300378,,,1000,1000,5000,lbwcc.edu
"Oklahoma State University Institute of Technology",oklahoma-state-university-institute-of-technology,,Okmulgee,OK,0.41,,12494,300456,,,2000,2000,6000,osuit.edu
"CUNY School of Labor and Urban Studies",cuny-school-of-labor-and-urban-studies,,,,,,12249,300534,,,,,,
"Fashion Careers College",fashion-careers-college,,,,,,15122,300612,,,,,,
"Suburban Technical School",suburban-technical-school,,,,,,15373,300690,,,,,,
"Hedding College",hedding-college,,,,,,10965,300768,,,,,,
"Department of Media and Communication",department-of-media-and-communication,,,,,,15764,300846,,,,,,
"Ohio Central College",ohio-central-college,,,,,,9421,300924,,,,,,
"St. Pius X Preparatory Seminary",st.-pius-x-preparatory-seminary,,,,,,15432,301002,,,,,,
"Yeshivas Chofetz Chaim",yeshivas-chofetz-chaim,0.97,Flushing,NY,0.27,,14821,301080,,,1000,0,10000,
"Northeast Tech",northeast-tech,,Pryor,OK,,,13864,301158,,,1000,0,,netech.edu
"Nueta Hidatsa Sahnish College",nueta-hidatsa-sahnish-college,,"New Town",ND,,,13881,301236,,,1000,0,4000,nhsc.edu
"St. Louis Community College–Forest Park","st.-louis-community-college–forest-park",,Bridgeton,MO,0.18,,14055,301314,,,12000,12000,5000,stlcc.edu
"Jamestown Business College",jamestown-business-college,0.98,Jamestown,NY,0.53,,7104,301392,,,1000,0,13000,jbc.edu
"Texas Tech University at Abilene",texas-tech-university-at-abilene,,,,,,15068,301470,,,,,,
"Immanuel Lutheran College",immanuel-lutheran-college,,,,,,14783,301548,,,,,,
"Universidad Central del Caribe",universidad-central-del-caribe,0.86,Bayamon,PR,0.1,,14361,301626,,,1000,0,6000,uccaribe.edu
"Peniel College",peniel-college,,,,,,12761,301704,,,,,,
"United States Army Sniper School",united-states-army-sniper-school,,,,,,14585,301782,,,,,,
"Plaza of the Americas",plaza-of-the-americas,,,,,,14456,301860,,,,,,
"New York College of Health Professions",new-york-college-of-health-professions,,Syosset,NY,0.41,,14928,301938,,,1000,0,14000,nycollege.edu
"Northeastern Technical College",northeastern-technical-college,,Cheraw,SC,0.27,,14714,302016,,,1000,1000,5000,netc.edu
"Kee Mar College",kee-mar-college,,,,,,13738,302094,,,,,,
"McKenzie College",mckenzie-college,,,,,,12216,302172,,,,,,
"Center for Swedenborgian Studies",center-for-swedenborgian-studies,,,,,,14093,302250,,,,,,
"St. Alban Theological Seminary",st.-alban-theological-seminary,,,,,,15219,302328,,,,,,
"Chandler–Gilbert Community College","chandler–gilbert-community-college",,Chandler,AZ,0.24,,15601,302406,,,8000,8000,2000,
"Hartford College for Women",hartford-college-for-women,,,,,,11626,302484,,,,,,
"Krause Center for Leadership and Ethics",krause-center-for-leadership-and-ethics,,,,,,15143,302562,,,,,,
"Hyles–Anderson College","hyles–anderson-college",,,,,,14108,302640,,,,,,
"Davis Technical College",davis-technical-college,,Kaysville,UT,0.48,,15366,302718,,,2000,2000,,davistech.edu
"University of Puerto Rico at Bayamón","university-of-puerto-rico-at-bayamón",0.91,Bayamon,PR,0.29,,15252,302796,,,4000,4000,4000,uprb.edu
"Dominican College of Racine",dominican-college-of-racine,,,,,,11991,302874,,,,,,
"Yeshiva of Nitra",yeshiva-of-nitra,,"Mount Kisco",NY,0.12,,10367,302952,,,1000,0,12000,
"Lighthouse Christian School",lighthouse-christian-school,,,,,,15076,303030,,,,,,
"Chattahoochee Valley Community College",chattahoochee-valley-community-college,,"Phenix City",AL,0.22,,14736,303108,,,1000,1000,5000,cv.edu
"Tohono Oʼodham Community College","tohono-oʼodham-community-college",,Sells,AZ,0.15,,13926,303186,,,1000,0,1000,tocc.edu
"Colby–Sawyer College","colby–sawyer-college",0.91,"New London",NH,0.65,921,6899,303264,,,1000,1000,43000,colby-sawyer.edu
"Mid-America Technology Center",mid-america-technology-center,,Wayne,OK,0.5,,14240,303342,,,1000,1000,,
"Pioneer Technology Center",pioneer-technology-center,,"Ponca City",OK,0.71,,13812,303420,,,1000,0,,pioneertech.edu
"National University of Natural Medicine",national-university-of-natural-medicine,,Portland,OR,,,14435,303498,,,1000,0,10000,nunm.edu
"Pittsburgh Institute of Aeronautics",pittsburgh-institute-of-aeronautics,,"West Mifflin",PA,0.7,,12512,303576,,,1000,1000,22000,pia.edu
"Wadsworth Institute",wadsworth-institute,,,,,,9515,303654,,,,,,
"Black Hills Beauty College",black-hills-beauty-college,,"Rapid City",SD,0.51,,13956,303732,,,1000,0,,
"DuBois Business College",dubois-business-college,,,,,,14673,303810,,,,,,
"Norwich Technical High School",norwich-technical-high-school,,,,,,12356,303888,,,,,,
"Calvary Baptist Theological Seminary",calvary-baptist-theological-seminary,,,,,,15339,303966,,,,,,
"The Restaurant School at Walnut Hill College",the-restaurant-school-at-walnut-hill-college,0.75,Philadelphia,PA,0.75,190,12340,304044,,,1000,0,24000,walnuthillcollege.edu
"Bay Mills Community College",bay-mills-community-college,,Brimley,MI,0.14,,10467,304122,,,1000,0,3000,bmcc.edu
"J. F. Ingram State Technical College",j.-f.-ingram-state-technical-college,,Deatsville,AL,0.21,,13623,304200,,,1000,1000,5000,
"Eastern Iowa Community Colleges",eastern-iowa-community-colleges,,Davenport,IA,0.39,,11712,308179,,,5000,5000,5000,eicc.edu
"Carroll Community College",carroll-community-college,,Westminster,MD,0.39,,14919,308258,,,2000,2000,6000,carrollcc.edu
"Monsbey College",monsbey-college,,,,,,16375,308337,,,,,,
"Tri County Technology Center",tri-county-technology-center,,,,,,13940,308416,,,,,,
"Sullins College",sullins-college,,,,,,11029,308574,,,,,,
"Arizona Center for Medieval and Renaissance Studies",arizona-center-for-medieval-and-renaissance-studies,,,,,,15310,308653,,,,,,
"McCann School of Business & Technology",mccann-school-of-business-&-technology,,,,,,14655,308732,,,,,,
"Spokane College",spokane-college,,,,,,13931,308811,,,,,,
"Tri-County Community College",tri-county-community-college,,Murphy,NC,0.4,,13283,308890,,,1000,1000,2000,tricountycc.edu
"City College",city-college,0.89,"Fort Lauderdale",FL,0.28,,12842,308969,,,1000,0,15000,citycollege.edu
"Spring Garden College",spring-garden-college,,,,,,4485,309048,,,,,,
"Maysville Community and Technical College",maysville-community-and-technical-college,,Maysville,KY,0.45,,12922,309127,,,2000,2000,4000,maysville.kctcs.edu
"Divers Academy International",divers-academy-international,,ERIAL,NJ,0.94,,15970,309206,,,1000,0,,diversacademy.edu
"Mir Yeshiva",mir-yeshiva,0.84,Brooklyn,NY,0.11,,5014,309285,,,1000,0,10000,
"Make-up Designory",make-up-designory,,,,,,14196,309364,,,,,,
"Gordon Cooper Technology Center",gordon-cooper-technology-center,,Shawnee,OK,0.72,,12870,309443,,,1000,1000,,
"Scarritt College for Christian Workers",scarritt-college-for-christian-workers,,,,,,11064,309522,,,,,,
"St. Joseph Female College",st.-joseph-female-college,,,,,,14684,309601,,,,,,
"The Art Institute of Michigan",the-art-institute-of-michigan,,,,,,15453,309680,,,,,,
"Mesabi Range College",mesabi-range-college,,Virginia,MN,0.31,,13953,309759,,,1000,1000,5000,mesabirange.edu
"Christ the King Mission Seminary",christ-the-king-mission-seminary,,,,,,12159,309838,,,,,,
"Institute of Design and Construction",institute-of-design-and-construction,,,,,,15479,309917,,,,,,
"Southern Oklahoma Technology Center",southern-oklahoma-technology-center,,Ardmore,OK,0.57,,12904,309996,,,1000,0,,sotech.edu
"Kingfisher College",kingfisher-college,,,,,,3336,310075,,,,,,
"Robert S. Strauss Center for International Security and Law",robert-s.-strauss-center-for-international-security-and-law,,,,,,15940,310154,,,,,,
"West Shore Community College",west-shore-community-college,,Scottville,MI,0.26,,14978,310233,,,1000,1000,4000,westshore.edu
"Huntingdon County Career and Technology Center",huntingdon-county-career-and-technology-center,,"Mill Creek",PA,0.78,,14420,310312,,,1000,0,,
"MediaTech Institute",mediatech-institute,,,,,,15741,310391,,,,,,
"Gorgas–Manly Historic District","gorgas–manly-historic-district",,,,,,15125,310470,,,,,,
"Pacific Islands University",pacific-islands-university,0.97,Mangilao,GU,0.38,,13067,310549,,,1000,0,5000,
"Capuchin College",capuchin-college,,,,,,15439,310628,,,,,,
"St. Cloud Technical and Community College",st.-cloud-technical-and-community-college,,"Saint Cloud",MN,0.34,,13418,310707,,,3000,3000,6000,sctcc.edu
"Hyannis State Teachers College",hyannis-state-teachers-college,,,,,,13861,310786,,,,,,
"First Presbyterian Church",first-presbyterian-church,,Detroit,MI,,,12303,310865,,,1000,0,,etseminary.edu
"Dallas College Richland Campus",dallas-college-richland-campus,,Dallas,TX,,,15822,310944,,,11000,11000,3000,richlandcollege.edu
"Career and Technology Education Centers of Licking County",career-and-technology-education-centers-of-licking-county,,Newark,OH,0.88,,13891,311023,,,1000,0,,c-tec.edu
"Alaska Bible College",alaska-bible-college,,Palmer,AK,0.63,,9458,311102,,,1000,0,10000,akbible.edu
"Interamerican University of Puerto Rico at Ponce",interamerican-university-of-puerto-rico-at-ponce,0.35,Mercedita,PR,0.4,,9493,311181,,,4000,3000,6000,inter.edu
"Windham Technical High School",windham-technical-high-school,,,,,,14997,311260,,,,,,
"Art Institute of Philadelphia",art-institute-of-philadelphia,,,,,,16059,311418,,,,,,
"Pentecostal Collegiate Institute",pentecostal-collegiate-institute,,,,,,12166,311497,,,,,,
"James Sprunt Community College",james-sprunt-community-college,,Kenansville,NC,0.35,,11795,311576,,,1000,1000,3000,jamessprunt.edu
"Academy of the New Church Theological School",academy-of-the-new-church-theological-school,,,,,,12823,311655,,,,,,
"Yeshiva Gedolah Zichron Moshe",yeshiva-gedolah-zichron-moshe,0.5,"South Fallsburg",NY,0.45,,14588,311734,,,1000,0,13000,
"Mary Sharp College",mary-sharp-college,,,,,,6024,311813,,,,,,
"Arkansas Northeastern College",arkansas-northeastern-college,,,,,,15642,311892,,,,,,anc.edu
"Saint Paul Seminary",saint-paul-seminary,,,,,,15540,311971,,,,,,
"Le Cordon Bleu College of Culinary Arts Atlanta",le-cordon-bleu-college-of-culinary-arts-atlanta,,,,,,16540,312050,,,,,,
"Grenada College",grenada-college,,,,,,12504,316080,,,,,,
"Chisholm Trail Technology Center",chisholm-trail-technology-center,,Omega,OK,0.47,,13497,316160,,,1000,0,,cttc.edu
"Northwest Technology Center",northwest-technology-center,,Alva,OK,0.9,,12080,316240,,,1000,0,,nwtech.edu
"International Academy of Design & Technology – Sacramento","international-academy-of-design-&-technology-–-sacramento",,,,,,15841,316320,,,,,,
"Shasta Bible College and Graduate School",shasta-bible-college-and-graduate-school,1.0,Redding,CA,0.75,,14556,316480,,,1000,0,13000,shasta.edu
"Upper Cape Cod Regional Technical School",upper-cape-cod-regional-technical-school,0.88,Bourne,MA,0.84,,15009,316560,,,1000,0,,
"Wake Forest Department of Theatre and Dance",wake-forest-department-of-theatre-and-dance,,,,,,15616,316640,,,,,,
"Renton Technical College",renton-technical-college,,Renton,WA,0.57,,9024,316720,,,3000,3000,6000,rtc.edu
"Acupuncture and Massage College",acupuncture-and-massage-college,,Miami,FL,0.77,,14198,316800,,,1000,0,11000,amcollege.edu
"Howell Cheney Technical High School",howell-cheney-technical-high-school,,Hartford,CT,0.96,,12678,316880,,,1000,0,,
"Champion Baptist College",champion-baptist-college,,,,,,12844,316960,,,,,,
"Tillamook Bay Community College",tillamook-bay-community-college,,Tillamook,OR,0.21,,15198,317040,,,1000,0,4000,tbcc.cc.or.us
"Southwest Technology Center",southwest-technology-center,,Altus,OK,0.89,,13152,317120,,,1000,0,,
"Lake–Sumter State College","lake–sumter-state-college",,Leesburg,FL,0.47,,12965,317200,,,3000,3000,3000,lssc.edu
"Kittrell College",kittrell-college,,,,,,11516,317280,,,,,,
"Native American Bible College",native-american-bible-college,,,,,,15110,317360,,,,,,
"Milwaukee-Downer College",milwaukee-downer-college,,,,,,5906,317440,,,,,,
"World Harvest Bible College",world-harvest-bible-college,,,,,,14350,317520,,,,,,
"Ogden–Weber Technical College","ogden–weber-technical-college",,Ogden,UT,0.56,,15189,317600,,,1000,1000,,otech.edu
"Farm and Industry Short Course",farm-and-industry-short-course,,,,,,13648,317680,,,,,,
"Mesalands Community College",mesalands-community-college,,Tucumcari,NM,0.41,,12030,317760,,,1000,0,2000,mesalands.edu
"Mount Hermon Female Seminary",mount-hermon-female-seminary,,,,,,10067,317840,,,,,,
"Linn–Benton Community College","linn–benton-community-college",,Albany,OR,0.21,,15352,317920,,,4000,4000,5000,linnbenton.edu
"The Art Institute of Phoenix",the-art-institute-of-phoenix,,,,,,15966,318000,,,,,,
"Smithville Seminary",smithville-seminary,,,,,,10036,318080,,,,,,
"Le Cordon Bleu College of Culinary Arts in Portland",le-cordon-bleu-college-of-culinary-arts-in-portland,,,,,,16142,318160,,,,,,
"High Plains Technology Center",high-plains-technology-center,,Woodward,OK,0.76,,13703,318240,,,1000,0,,
"John A. Gupton College",john-a.-gupton-college,0.71,Nashville,TN,0.1,745,13505,318320,,,1000,0,11000,
"Cumberland College",cumberland-college,,,,,,11851,318400,,,,,,
"Dallas College Eastfield Campus",dallas-college-eastfield-campus,,Mesquite,TX,,,12274,318480,,,9000,9000,3000,eastfieldcollege.edu
"Flint Hills Technical College",flint-hills-technical-college,,Emporia,KS,0.67,,14645,318560,,,1000,1000,7000,fhtc.edu
"Camp El Tesoro",camp-el-tesoro,,,,,,12875,318640,,,,,,
"Marshalltown Community College",marshalltown-community-college,,Marshalltown,IA,0.35,,15777,318720,,,1000,1000,5000,iavalley.edu
"MTI College",mti-college,0.79,Sacramento,CA,0.73,,7936,318800,,,1000,1000,,sacramento.mticollege.edu
"South Coast College",south-coast-college,,Orange,CA,0.63,,14744,318880,,,1000,0,13000,southcoastcollege.edu
"The Art Institute of California – Hollywood","the-art-institute-of-california-–-hollywood",,,,,,16686,318960,,,,,,
